GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
exam-tsdes-report/exam-tsdes-backend,no.kristiania.exam.tsdes.backend,PasswordConfig,0,7,0,0,0,2,0,2,0,2
exam-tsdes-report/exam-tsdes-backend,no.kristiania.exam.tsdes.backend.services,ItemService,8,217,2,24,2,52,2,21,0,10
exam-tsdes-report/exam-tsdes-backend,no.kristiania.exam.tsdes.backend.services,CopyService,19,64,1,1,5,16,1,3,0,3
exam-tsdes-report/exam-tsdes-backend,no.kristiania.exam.tsdes.backend.services,DefaultDataInitializerService,3,540,0,0,2,124,0,21,0,21
exam-tsdes-report/exam-tsdes-backend,no.kristiania.exam.tsdes.backend.services,UserService,29,248,7,13,6,64,7,12,0,9
exam-tsdes-report/exam-tsdes-backend,no.kristiania.exam.tsdes.backend.entities,User,19,101,0,0,7,36,6,21,6,21
exam-tsdes-report/exam-tsdes-backend,no.kristiania.exam.tsdes.backend.entities,Copy,0,17,0,0,0,8,0,5,0,5
exam-tsdes-report/exam-tsdes-backend,no.kristiania.exam.tsdes.backend.entities,CopyId,3,14,0,0,1,7,1,4,1,4
exam-tsdes-report/exam-tsdes-backend,no.kristiania.exam.tsdes.backend.entities,Item,15,51,0,0,7,22,4,15,4,15
exam-tsdes-report/exam-tsdes-frontend,no.kristiania.exam.tsdes.frontend.controller,UserInfoController,0,33,0,2,0,6,0,6,0,5
exam-tsdes-report/exam-tsdes-frontend,no.kristiania.exam.tsdes.frontend.controller,LootBoxController,4,20,0,0,2,5,1,3,1,3
exam-tsdes-report/exam-tsdes-frontend,no.kristiania.exam.tsdes.frontend.controller,CollectionController,27,53,5,7,4,11,5,8,1,6
exam-tsdes-report/exam-tsdes-frontend,no.kristiania.exam.tsdes,Application,5,3,0,0,2,1,1,1,1,1
exam-tsdes-report/exam-tsdes-frontend,no.kristiania.exam.tsdes.frontend,SignUpController,3,86,2,2,2,27,2,12,0,12
exam-tsdes-report/exam-tsdes-frontend,no.kristiania.exam.tsdes.frontend,RedirectForwardHandler,0,5,0,0,0,2,0,2,0,2
exam-tsdes-report/exam-tsdes-frontend,no.kristiania.exam.tsdes.frontend,WebSecurityConfig,12,97,0,0,4,27,0,5,0,5
